titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Terminator 3: Rise of the Machines ,2003,Jonathan Mostow,109,Color,Action|Sci-Fi,USA,A partir de 18 anos,200000000,150350192,6.4,0,Nick Stahl,M.C. Gainey,Carolyn Hennesy
The Matrix Reloaded ,2003,Lana Wachowski,138,Color,Action|Sci-Fi,USA,A partir de 18 anos,150000000,281492479,7.2,0,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
The Last Samurai ,2003,Edward Zwick,154,Color,Action|Drama|History|War,USA,A partir de 18 anos,140000000,111110575,7.7,0,Tom Cruise,Tony Goldwyn,Chad Lindberg
Hulk ,2003,Ang Lee,138,Color,Action|Sci-Fi,USA,A partir de 13 anos,137000000,132122995,5.7,0,Kevin Rankin,Regi Davis,Celia Weston
Master and Commander: The Far Side of the World ,2003,Peter Weir,138,Color,Action|Adventure|Drama|History|War,USA,A partir de 13 anos,150000000,93926386,7.4,0,James D'Arcy,Lee Ingleby,David Threlfall
Bad Boys II ,2003,Michael Bay,147,Color,Action|Comedy|Crime|Thriller,USA,A partir de 18 anos,130000000,138396624,6.6,0,Will Smith,Henry Rollins,Jordi Mollà
Pirates of the Caribbean: The Curse of the Black Pearl ,2003,Gore Verbinski,143,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,140000000,305388685,8.1,10000,Johnny Depp,Orlando Bloom,Jack Davenport
Charlie's Angels: Full Throttle ,2003,McG,107,Color,Action|Adventure|Comedy|Crime,USA,A partir de 13 anos,120000000,100685880,4.8,0,Demi Moore,Bernie Mac,Justin Theroux
The Cat in the Hat ,2003,Bo Welch,82,Color,Adventure|Comedy|Family|Fantasy,USA,Livre,109000000,100446895,3.8,946,Sean Hayes,Kelly Preston,Spencer Breslin
Finding Nemo ,2003,Andrew Stanton,100,Color,Adventure|Animation|Comedy|Family,USA,Outros,94000000,380838870,8.2,11000,Alexander Gould,Stephen Root,Brad Garrett
The Lord of the Rings: The Return of the King ,2003,Peter Jackson,192,Color,Action|Adventure|Drama|Fantasy,USA,A partir de 13 anos,94000000,377019252,8.9,16000,Orlando Bloom,Billy Boyd,Bernard Hill
The Haunted Mansion ,2003,Rob Minkoff,88,Color,Comedy|Family|Fantasy|Horror|Mystery,USA,Livre,90000000,75817994,4.9,988,Marsha Thomason,Rachael Harris,Marc John Jefferies
Lara Croft Tomb Raider: The Cradle of Life ,2003,Jan de Bont,117,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,95000000,65653758,5.5,0,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou
Seabiscuit ,2003,Gary Ross,140,Black and White,Drama|History|Sport,USA,A partir de 13 anos,87000000,120147445,7.3,0,Jeff Bridges,Michael Angarano,Michael O'Neill
The Rundown ,2003,Peter Berg,104,Color,Action|Adventure|Comedy|Thriller,USA,A partir de 13 anos,85000000,47592825,6.7,0,Dwayne Johnson,Rosario Dawson,Ewen Bremner
The Core ,2003,Jon Amiel,135,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,60000000,31111260,5.4,0,Glenn Morshower,Tchéky Karyo,Rekha Sharma
Bruce Almighty ,2003,Tom Shadyac,101,Color,Comedy|Drama,USA,A partir de 13 anos,81000000,242589580,6.7,0,Morgan Freeman,Steve Carell,Lisa Ann Walter
Something's Gotta Give ,2003,Nancy Meyers,128,Color,Comedy|Drama|Romance,USA,A partir de 13 anos,80000000,124590960,6.7,0,Keanu Reeves,Jon Favreau,Paul Michael Glaser
Cold Mountain ,2003,Anthony Minghella,154,Color,Adventure|Drama|History|Romance|War,USA,A partir de 18 anos,79000000,95632614,7.2,0,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam
Timeline ,2003,Richard Donner,116,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,80000000,19480739,5.6,0,Paul Walker,Gerard Butler,Ethan Embry
2 Fast 2 Furious ,2003,John Singleton,107,Color,Action|Crime|Thriller,USA,A partir de 13 anos,76000000,127083765,5.9,0,Paul Walker,Cole Hauser,Mo Gallini
The League of Extraordinary Gentlemen ,2003,Stephen Norrington,110,Black and White,Action|Adventure|Fantasy|Sci-Fi,USA,A partir de 13 anos,78000000,66462600,5.8,0,Jason Flemyng,Max Ryan,Tony Curran
Tears of the Sun ,2003,Antoine Fuqua,142,Color,Action|Drama|Thriller|War,USA,A partir de 18 anos,70000000,43426961,6.6,0,Bruce Willis,Tom Skerritt,Cole Hauser
Hollywood Homicide ,2003,Ron Shelton,116,Color,Action|Comedy|Crime|Thriller,USA,A partir de 13 anos,75000000,30013346,5.3,648,Harrison Ford,Bruce Greenwood,Lena Olin
S.W.A.T. ,2003,Clark Johnson,117,Color,Action|Adventure|Crime|Thriller,USA,A partir de 13 anos,80000000,116643346,6,0,Jeremy Renner,Josh Charles,LL Cool J
Big Fish ,2003,Tim Burton,125,Color,Adventure|Drama|Fantasy,USA,A partir de 13 anos,70000000,66257002,8,26000,Steve Buscemi,Alison Lohman,Albert Finney
Dreamcatcher ,2003,Lawrence Kasdan,136,Color,Drama|Horror|Sci-Fi|Thriller,USA,A partir de 18 anos,68000000,33685268,5.5,4000,Morgan Freeman,Michael O'Neill,Reece Thompson
Mona Lisa Smile ,2003,Mike Newell,117,Color,Drama,USA,A partir de 13 anos,65000000,63695760,6.4,0,Julia Roberts,Kirsten Dunst,Marian Seldes
Daddy Day Care ,2003,Steve Carr,92,Color,Comedy|Family,USA,Livre,60000000,104148781,5.5,886,Anjelica Huston,Lisa Edelstein,Jeff Garlin
The Italian Job ,2003,F. Gary Gray,111,Color,Action|Crime|Thriller,USA,A partir de 13 anos,60000000,106126012,7,0,Jason Statham,Charlize Theron,Jimmy Shubert
Kangaroo Jack ,2003,David McNally,89,Color,Action|Adventure|Comedy|Crime,USA,Livre,60000000,66734992,4.4,858,Estella Warren,Dyan Cannon,Bill Hunter
Paycheck ,2003,John Woo,119,Color,Action|Mystery|Sci-Fi|Thriller,USA,A partir de 13 anos,60000000,53789313,6.3,0,Ivana Milicevic,Joe Morton,Callum Rennie
Intolerable Cruelty ,2003,Joel Coen,100,Color,Comedy|Crime|Romance,USA,A partir de 13 anos,60000000,35096190,6.3,0,Cedric the Entertainer,Paul Adelstein,Julia Duffy
Sinbad: Legend of the Seven Seas ,2003,Patrick Gilmore,85,Color,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,USA,Livre,60000000,26288320,6.7,880,Brad Pitt,Adriano Giannini,Timothy West
Beyond Borders ,2003,Martin Campbell,127,Color,Adventure|Drama|Romance|War,USA,A partir de 18 anos,35000000,4426297,6.5,0,Angelina Jolie Pitt,Teri Polo,Noah Emmerich
American Wedding ,2003,Jesse Dylan,74,Color,Comedy|Romance,USA,A partir de 18 anos,55000000,104354205,6.3,0,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard
Kill Bill: Vol. 1 ,2003,Quentin Tarantino,111,Black and White,Action,USA,A partir de 18 anos,30000000,70098138,8.1,13000,David Carradine,Vivica A. Fox,Chiaki Kuriyama
The Hunted ,2003,William Friedkin,94,Color,Action|Crime|Drama|Thriller,USA,A partir de 18 anos,55000000,34238611,6,0,Connie Nielsen,Jenna Boyd,Rex Linn
Stuck on You ,2003,Bobby Farrelly,118,Color,Comedy,USA,A partir de 13 anos,55000000,33828318,5.8,0,Matt Damon,Terence Bernie Hines,Seymour Cassel
Gods and Generals ,2003,Ron Maxwell,280,Color,Drama|History|War,USA,A partir de 13 anos,56000000,12870569,6.3,953,Billy Campbell,Bruce Boxleitner,John Castle
Gigli ,2003,Martin Brest,121,Color,Comedy|Crime|Romance,USA,A partir de 18 anos,54000000,5660084,2.4,2000,Todd Giebenhain,Lenny Venito,David Backus
